,nombre,orden,familia,genus,nombre_comun,conservacion,invasivo,taxonConceptID,nombre2,subgenus,taxonRank
100,Anthus berthelotii,Passeriformes,Motacillidae,Anthus,Berthelot's Pipit,1,0,2490270.0,,,species
101,Ichthyaetus audouinii,Charadriiformes,Laridae,Ichthyaetus,Audouin's Gull,0,0,7406504.0,Larus audouinii,,species
102,Plegadis falcinellus,Pelecaniformes,Threskiornithidae,Plegadis,Glossy Ibis,0,0,2480773.0,,,species
103,Turdus viscivorus,Passeriformes,Turdidae,Turdus,Mistle Thrush,0,0,2490774.0,,,species
104,Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Greater Flamingo,0,0,4352332.0,,,species
105,Psittacula krameri,Psittaciformes,Psittacidae,Psittacula,Halsbandparkiet,0,1,2479226.0,,,species
106,Aythya ferina,Anseriformes,Anatidae,Aythya,Common Pochard,0,0,2498255.0,,,species
107,Accipiter gentilis,Accipitriformes,Accipitridae,Accipiter,Northern Goshawk,1,0,2480589.0,,,species
108,Cuculus canorus,Cuculiformes,Cuculidae,Cuculus,Gøg,1,0,5231918.0,,,species
109,Lullula arborea,Passeriformes,Alaudidae,Lullula,Wood Lark,0,0,2490604.0,,,species
110,Anser anser,Anseriformes,Anatidae,Anser,Graylag Goose,0,0,2498036.0,,,species
111,Cecropis daurica,Passeriformes,Hirundinidae,Cecropis,,0,0,9717283.0,,,species
112,Podiceps nigricollis,Podicipediformes,Podicipedidae,Podiceps,Eared Grebe,0,0,2482065.0,,,species
113,Acrocephalus scirpaceus,Passeriformes,Acrocephalidae,Acrocephalus,Eurasian Reed Warbler,1,0,2493118.0,,,species
114,Prunella modularis,Passeriformes,Prunellidae,Prunella,Dunnock,0,0,5231763.0,,,species
115,Alauda arvensis,Passeriformes,Alaudidae,Alauda,Eurasian Skylark,0,0,8077224.0,,,species
116,Lanius senator,Passeriformes,Laniidae,Lanius,Rødhovedet Tornskade,0,0,2492867.0,,,species
117,Nycticorax nycticorax,Pelecaniformes,Ardeidae,Nycticorax,Black-Crowned Night Heron,0,0,2480863.0,,,species
118,Netta rufina,Anseriformes,Anatidae,Netta,Red-Crested Pochard,0,0,2498180.0,,,species
