"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"2475443","Merops apiaster","Linnaeus, 1758","species","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","European Bee-Eater","",""
"2480482","Circus aeruginosus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Marsh Harrier","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2477968","Dendrocopos major","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Great Spotted Woodpecker","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2481047","Falco peregrinus","Tunstall, 1771","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Wanderfalke","",""
"2481728","Tringa ochropus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Green Sandpiper","",""
"2492576","Muscicapa striata","(Pallas, 1764)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Muscicapa","Spotted Flycatcher","",""
"2498302","Oxyura leucocephala","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","White-Headed Duck","",""
"6092830","Spinus spinus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Eurasian Siskin","",""
"2480389","Gyps fulvus","(Hablizl, 1783)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Gyps","Eurasian Griffon","",""
"6100954","Coloeus monedula","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Dohle","",""
"2488949","Oriolus oriolus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Oriolus","Eurasian Golden Oriole","",""
"2494543","Pyrrhula pyrrhula","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Eurasian Bullfinch","",""
"5228694","Apus unicolor","(Jardine, 1830)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Kanariseiler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"6101223","Spilopelia senegalensis","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Spilopelia","Laughing Dove","",""
"2482048","Tachybaptus ruficollis","(Pallas, 1764)","species","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Tachybaptus","Little Grebe","",""
"2498009","Tadorna tadorna","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Common Shelduck","",""
"2492350","Petronia petronia","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Petronia","Gorrión Chillón","",""
"2477411","Tachymarptis melba","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Tachymarptis","Alpine Swift","",""
"8151548","Ichthyaetus melanocephalus","(Temminck, 1820)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Mediterranean Gull","",""
"2498089","Anas clypeata","Linnaeus, 1758","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Löffelente","",""
"2490270","Anthus berthelotii","Bolle, 1862","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Berthelot's Pipit","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2490774","Turdus viscivorus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Mistle Thrush","",""
"7406504","Ichthyaetus audouinii","(Payraudeau, 1826)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Audouin's Gull","",""
"2480773","Plegadis falcinellus","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Čáhppesibis","",""
"2479226","Psittacula krameri","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Psittacula","Ring-Necked Parakeet","","Catálogo Español de Especies Exóticas Invasoras"
"2498255","Aythya ferina","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","Common Pochard","",""
"4352332","Phoenicopterus roseus","Pallas, 1811","species","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Greater Flamingo","",""
"2480589","Accipiter gentilis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Eurasian Goshawk","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2490604","Lullula arborea","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Lullula","Wood Lark","",""
"5231918","Cuculus canorus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Common Cuckoo","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2482065","Podiceps nigricollis","C.L.Brehm, 1831","species","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Black-Necked Grebe","",""
"2480863","Nycticorax nycticorax","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","Black-Crowned Night-Heron","",""
"2493118","Acrocephalus scirpaceus","(Hermann, 1804)","species","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Eurasian Reed Warbler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2498036","Anser anser","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Domestic Goose","",""
"8077224","Alauda arvensis","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Eurasian Skylark","",""
"9717283","Cecropis daurica","(Laxmann, 1769)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Cecropis",,"",""
"2492867","Lanius senator","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Ruksesoaiskirri","",""
"5231763","Prunella modularis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Prunellidae","Prunella","Ruovdecihci","",""
"8012314","Jynx torquilla","Linnaeus, 1758","species","Animalia","Chordata","Aves","Piciformes","Picidae","Jynx","Eurasian Wryneck","",""
"2497266","Athene noctua","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Little Owl","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2498180","Netta rufina","(Pallas, 1773)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Netta","Red-Crested Pochard","",""
"2487843","Poecile palustris","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Sumpfmeise","",""
"2493070","Phylloscopus bonelli","(Vieillot, 1819)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Várrelastavizar","",""
"2491498","Emberiza cia","Linnaeus, 1766","species","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Bergspurv","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2493052","Phylloscopus trochilus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Willow Warbler","",""
"8214667","Anas crecca","Linnaeus, 1758","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Common Teal","",""
"2480696","Neophron percnopterus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Neophron","Egyptian Vulture","",""
"2482100","Burhinus oedicnemus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Eurasian Thick-Knee","",""
"9584698","Falco naumanni","Fleischer, 1818","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Lesser Kestrel","",""
"9701857","Motacilla flava","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Fiskesbeštor","",""
"2481784","Numenius phaeopus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Guškil","",""
"2481174","Larus fuscus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Lesser Black-Backed Gull","",""
"2482552","Pyrrhocorax pyrrhocorax","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","Alpekråke","",""
"2495093","Cinclus cinclus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Cinclidae","Cinclus","White-Throated Dipper","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2480666","Circaetus gallicus","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circaetus","Short-Toed Snake-Eagle","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2481748","Calidris alba","(Pallas, 1764)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Sanderling","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2494329","Coccothraustes coccothraustes","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Coccothraustes","Hawfinch","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231240","Oenanthe oenanthe","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Northern Wheatear","",""
"5739355","Iduna opaca","(Cabanis, 1850)","species","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Iduna","Eastern Olivaceous Warbler","",""
"9330514","Galerida theklae","A.E.Brehm, 1857","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Thekla Lark","",""
"2480259","Recurvirostra avosetta","Linnaeus, 1758","species","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Pied Avocet","",""
"2480420","Pernis apivorus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pernis","European Honey-Buzzard","",""
"2493214","Hippolais polyglotta","(Vieillot, 1817)","species","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Hippolais","Melodious Warbler","",""
"2497701","Otus scops","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Strigiformes","Strigidae","Otus","Eurasian Scops-Owl","",""
"2497921","Tyto alba","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Barn Owl","",""
"5228695","Apus pallidus","(Shelley, 1870)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Fahlsegler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2481240","Thalasseus sandvicensis","(Latham, 1787)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Sandwich Tern","",""
"9015784","Dryobates minor","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Kleinspecht","",""
"2474416","Porphyrio porphyrio","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Purple Swamphen","",""
"2489160","Riparia riparia","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Dearbmebeskkos","",""
"2495688","Streptopelia roseogrisea","(Sundevall, 1857)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","African Collared-Dove","","Catálogo Español de Especies Exóticas Invasoras"
"5229165","Aegypius monachus","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","ត្មាតខ្មៅ","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2474156","Coturnix coturnix","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Galliformes","Phasianidae","Coturnix","Common Quail","",""
"2495434","Columba junoniae","Hartert, 1916","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","White-Tailed Laurel Pigeon","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2498343","Cygnus olor","(Gmelin, 1789)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Mute Swan","",""
"11007527","Acrocephalus arundinaceus","(Temminck & Schlegel, 1847)","species",,,,,,,,"Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2480242","Vanellus vanellus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Northern Lapwing","",""
"2480506","Aquila chrysaetos","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Golden Eagle","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2480850","Ixobrychus minutus","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ixobrychus","Uhcaháigir","",""
"2487883","Lophophanes cristatus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Paridae","Lophophanes","Haubenmeise","",""
"2489104","Sturnus unicolor","Temminck, 1820","species","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Spotless Starling","",""
"2490955","Monticola solitarius","(Linnaeus, 1758)","species",,,,,,"Monticola","Blue Rock Thrush","",""
